name,description,min_weight,max_weight,family_score,children_score,other_dog_score,shedding_score,grooming_score,drooling_score,stranger_score,playfulness_score,protective_score,adaptability_score,trainability_score,energy_score,barking_score,mental_stim_score
Portuguese Water Dog,"The bright and biddable Portuguese Water Dog was bred to be an all-around fishermans helper. The robust, medium-sized body is covered by a coat of tight, low-shedding curls. PWDs are eager and athletic companions built for water work.The Portuguese Water Dog is super-smart and very biddable, meaning hes easy to train and eager to please. The Portie can be groomed in two styles: The retriever clip (the entire coat is clipped to one inch in length, with the tail tip at full length) or the more check-me-out lion clip, where the coat is on the hindquarters and muzzle is clipped down to the skin.",35,60,5,5,4,2,4,2,4,5,4,5,5,5,3,5
Pudelpointer,"The Pudelpointer is a calm, self-controlled, versatile gun dog with a distinct hunting instinct and lacks game or gun shyness. In his native country of Germany, he has always ranked high in performance tests and in the field. This breed is enjoyed and valued for its desire and drive.The Pudelpointer originated in Germany, created by crossing the Poodle with the Pointer. A versatile, genetically sound and healthy gun dog emerged from this cross and the breed is useful for all kinds of work in the fields, woods and water. His coat can be wire-haired, smooth/short, or rough and his coat color ranges from light brown to black. He may also have small white markings.",45,70,5,3,3,3,1,3,3,3,3,5,5,4,3,4
Pug,"Once the mischievous companion of Chinese emperors, and later the mascot of Hollands royal House of Orange, the small but solid Pug is today adored by his millions of fans around the world. Pugs live to love and to be loved in return. The Pugs motto is the Latin phrase multum in parvo (a lot in a little)an apt description of this small but muscular breed. They come in three colors: silver or apricot-fawn with a black face mask, or all black. The large round head, the big, sparkling eyes, and the wrinkled brow give Pugs a range of human-like expressionssurprise, happiness, curiositythat have delighted owners for centuries. Pug owners say their breed is the ideal house dog. Pugs are happy in the city or country, with kids or old folks, as an only pet or in a pack. They enjoy their food, and care must be taken to keep them trim. They do best in moderate climatesnot too hot, not too coldbut, with proper care, Pugs can be their adorable selves anywhere.",14,18,5,5,4,4,2,1,5,5,3,5,4,3,1,3
Puli,"No other breed can be mistaken for the Puli, a compact but powerful herder covered from head to tail with profuse, naturally occurring cords. Bred to work closely with humans, these agile and faithful little dynamos are quick learners.First, there are those dreadlocks, the instantly recognizable feature of the Puli (pronounced Poo-lee, Pulik is the plural). The coats naturally occurring cords are wooly, dense, and weatherproof. Either corded or brushed out, Puli coats require lots of attention. Under the dreads theres a compact but powerful dog, standing 16 to 17 inches at the shoulder. Pulik are remarkably agile and light on their feet, earning a reputation as the acrobat of the dog world.",25,35,5,3,3,1,5,2,3,3,5,4,5,3,3,5
Pumi,"A compact, nimble-footed herder of Hungarian origin, the Pumi is easily recognized by a corkscrew-curled coat, two-thirds erect ears, and distinctive whimsical expression. The breed is famed for its intelligence, agility, and boldness. The Pumi (POO-mee; plural Pumik) was conceived as a compact, quick, and fearless sheepherder capable of moving flocks on the narrow roads connecting the pastures of western Hungary. At a glance, it might be hard to believe that this cuddly charmer was born to do such tough work. With his coat of corkscrew curls, circular tail, expressive ears, and distinctively whimsical look, the Pumi is all kinds of cute. But beneath the curls is a lean, deep-chested herder with a seemingly endless capacity for work and play.",22,29,5,3,3,1,2,2,3,4,4,4,5,5,3,5
Pyrenean Mastiff,"A centuries-old, rare breed from the Pyrenees Mountains in Spain, this livestock guardian protected flocks from wolves, bears and thieves. Today, while it is still an effective guardian, many families have found the joy of owning the gentle and loving, yet independent, Pyrenean Mastiff.The Pyrenean Mastiff is friendly towards humans, calm, noble and very intelligent. At the same time, he is courageous and proud towards strangers, from whom he never backs away. In his behavior towards other dogs, he is good-natured and aware of his superior strength. Though he will do his job to alert when strangers or animals come around, he is not known for being an incessant barker. As a guardian breed, the Pyrenean Mastiff has a very low prey drive and, therefore, loves and protects all creatures, human and animal alike. They love children and welcome friends and family, and only feel the need to protect when its a real threat. All that love can get a bit messy though; just like any mastiff, they do drool and quite profusely when exposed to heat, food, or water. ",120,240,5,5,3,3,3,5,3,3,5,3,3,2,1,3
Pyrenean Shepherd,"Enthusiastic, mischievous, and whip-smart, the Pyrenean Shepherd is an indefatigable herder descended from ancient sheepdogs of the Pyrenees mountains. Tough and sinewy Pyr Sheps come in rough-faced and smooth-faced coat varieties.These tough, lean, and lively herders, famous for their vigorous and free-flowing movement, come in two coat varieties: rough-faced and smooth-faced. Roughs have profuse, windswept hair above the muzzle and a generally harsh coat; smooths have short facial hair, a finer-textured coat, and a slightly longer, pointier muzzle. Both varieties of this sinewy, rectangular breed come in many colors and patterns. Pyr Sheps see the world through dark almond-shaped eyes conveying an alert and cunning expression.",15,30,5,3,3,3,2,2,3,5,5,4,5,5,4,5
Rafeiro do Alentejo,"The Rafeiro do Alentejo is an excellent farm and estate watch dog. He is also a very useful livestock protector, being more vigilant at night and very serious when guarding territory or any other property entrusted to him. He has a calm and confident expression.Since the beginning of the breeds history, Rafeiros Alentejanos were used in packs as hunting dogs for big game, though this function has gradually disappeared over time. More recently, the breed is a guard dog for property and livestock, watching sheep and cattle. They also often work alone in prairies and will defend the herd against any intruders. Hailing from Portugal, the Rafeiro do Alentejo is a large-sized dog, powerful, rustic, sober, and calm. He moves with a heavy, slow roll. His coat is short or medium-length and thick, straight and dense. They can be black, wolf grey, or fawn, with or without brindling, always with white markings; or white with patches of these colors.",77,132,5,3,3,3,2,3,3,3,5,5,5,3,2,3
Rat Terrier,"An American original, with a breed name said to be coined by Teddy Roosevelt, the Rat Terrier is a compact, tough, smooth-coated exterminator dog. RTs come in two size varieties and are happy-go-lucky, playful, and portable companions. Balanced, compactly built Rat Terriers are tough but elegant-looking. There are two size divisions: Miniatures stand 10 to 13 inches at the shoulder; standards are over 13 inches and as high as 18 inches. The smooth, shiny coat comes in varieties of pied patterns. (Pied, a word borrowed from the horsemans lexicon, means comparatively large patches of one or more colors in combination with white.) These smoothly muscled exterminators are constructed for the efficient movement required for a long days work.",10,25,5,5,3,3,2,1,5,5,4,4,5,4,3,5
Redbone Coonhound,"The streamlined Redbone Coonhound, an American original, is even-tempered, mellow, and kindly at home but a tiger on the trail. Vigorous activities like hunting and swimming between long periods of rest is the rhythm of coonhound life. Redbones are medium-to-large hound dogs whose muscles undulate beneath a sleek and stunning red coat. The overall impression is that a master sculptor carved them from blocks of the finest mahogany. The classically houndy head is flanked by ears long enough to reach the nose. Dreamy brown eyes give the face an expression described by the breeds devotees as pleading. Bred to work on all kinds of punishing terrain, Redbones are fast and surefooted and move with a proud, determined gait.",45,70,5,5,5,3,2,3,3,3,3,4,3,3,4,4
Rhodesian Ridgeback,"The Rhodesian Ridgeback is an all-purpose Renaissance hound whose hallmark is the ridge, or stripe of backward-growing hair, on his back. Though the breed was made famous in its native Africa for its skill at tracking and baying, but never, ever killing,  lions, today Ridgebacks are cherished family dogs whose owners must be prepared to deal with their independence and strong prey drive.Beneath the Ridgebacks trademark ridge is a whole lot of hound: Ridgebacks are fast and powerful athletes who can weigh between 70 and 85 pounds, and oftentimes more. They come in only one color, wheaten, which spans every shade seen in a wheat field, from pale flaxen to the burnished red of a maturing crop. Ridgebacks also have two nose colors: black and the less commonly seen brown. The formidable Ridgeback can be strong-willed, independent, and sometimes domineering. Ridgebacks must be guided with a firm but a fair hand from puppyhood. They are faithful friends, protective of their loved ones, and meltingly affectionate with those whom they trust. Still, a Ridgeback can be too much hound for the novice dog owner.",70,85,5,5,3,3,2,2,3,3,5,4,4,3,2,4
Romanian Carpathian Shepherd,"The Romanian Carpathian Shepherd dog is a natural guardian, very courageous and loyal, distinguishing itself by its unconditional attachment and devotion to the whole family, or the herd it protects and to its master. The Carpathian is a dignified, proud, calm, and balanced dog.The Romanian Carpathian Shepherds are fierce guardians, brave, intelligent, loyal, and proud dogs that are also very playful, and fully devoted to their family and master - they will listen to all family, but recognize one human to be the ultimate master they will follow. The Carpathians are large, double coated dogs, gray wolf-like in color, very agile and powerful. They are extremely efficient working dogs, naturally selected to guard and protect herds and flocks from the large numbers of gray wolves, brown bears and other predators housed in the Carpathian Mountains of Romania, the dogs playing an important role in maintain a balanced, natural habitat between humans, domesticated animals, and wild predators in the area.",70,100,3,4,3,3,2,1,3,3,5,3,1,2,3,5
Romanian Mioritic Shepherd Dog,"The Romanian Mioritic Shepherd Dog origins come from near the Carpathian Mountains. The breed is very impressive in size and character.Used for centuries to guard livestock in its homeland of Romania, the Mioritic Sheepdog is a typical Livestock Guarding Dog (LGD). Loyal, reliable, independent, and fiercely protective, he is friendly and devoted to his family but very mistrusting of strangers. It is a large dog with long coat which requires regular grooming, and with any dog of this size and temperament requires daily exercise and basic obedience training. Mioritics are lively and stubborn but in spite of all their independence they are very sensitive creatures in their furry armor. As puppies they stick to the pack which has accepted them. This can be any kind of creature  dog, cat, horse, sheep, the Mioritic needs very close family ties; a house without doors it thinks would be ideal. This certainly depends a great deal on the weather. Its favorite place is always very close to its favorite person. It determines its resting place itself. This may even be the couch or a carpet not suitable for dogs, but as a rule shepherds, even as puppies, prefer to sleep on hard ground. They need no dog baskets, no special mattresses and by no means an allocated place. No work creating program is necessary but daily walks and hikes provide exciting variation.",100,130,5,5,3,2,2,3,1,3,5,3,3,3,1,3
Rottweiler,"The Rottweiler is a robust working breed of great strength descended from the mastiffs of the Roman legions. A gentle playmate and protector within the family circle, the Rottie observes the outside world with a self-assured aloofness. A male Rottweiler will stand anywhere from 24 to 27 muscular inches at the shoulder; females run a bit smaller and lighter. The glistening, short black coat with smart rust markings add to the picture of imposing strength. A thickly muscled hindquarters powers the Rotties effortless trotting gait. A well-bred and properly raised Rottie will be calm and confident, courageous but not unduly aggressive. The aloof demeanor these world-class guardians present to outsiders belies the playfulness, and downright silliness, that endear Rotties to their loved ones. (No one told the Rottie hes not a toy breed, so he is liable plop onto your lap for a cuddle.) Early training and socialization will harness a Rotties territorial instincts in a positive way.",80,135,5,3,3,3,1,3,3,4,5,4,5,3,1,5
Russell Terrier,"Upbeat, lively, inquisitive, and friendly, the jaunty Russell Terrier was developed by Englands Sporting Parson for use in foxhunts. The adorable Russell Terrier looks like a plush toy come to life but is an eager, tireless working terrier. These jaunty little fellows pack lots of personality into a compact, rectangular body standing 10 to 12 inches at the shoulder. Their dark, almond-shaped eyes and mobile V-shaped ears bring out the keenly intelligent expressionan endearing hallmark of the breed. All three coat types are mostly white with markings that are tan or black, or both. Russells move with a free, effortless gait that announces the breeds innate confidence.",9,15,5,3,5,3,2,1,5,5,4,4,3,5,4,5
Russian Toy,"The Russian Toy is a small, elegant, lively dog with long legs, fine bones and lean muscles. They are active and cheerful, possessing keen intelligence and a desire to please. This breed loves to snuggle and be close to their human companions, although sometimes slightly aloof to strangers. They are neither cowardly nor aggressive.The Russian Toy is a toy breed with a lineage that dates back to the Russian aristocracy. In general, he is a good-natured imp that loves to run and play. They will dash through the house or yard chasing toys as long as you can keep up, while many others are willing to do nothing more than lounge in your lap all day long, content in knowing that they are the prize jewel in your home. They thrive on human companionship and will let you know if they are feeling neglected. Their coat is either semi-long or smooth. The longhaired variety carries a nice ruff on the chest and unique feathering on the extremities, tail and ears. Long-coated Russian Toys will not have an adult coat until it is more than a year old and full fringing not until three years of age. The smooth-coated variety is sleek and smooth to the touch. There is also a slight attitude difference between the two varieties. Smooth Coats tend to be a little more terrier-like than Long Coats. However, both share a larger-than-life personality. ",6,6,5,3,3,3,2,1,3,4,4,4,4,3,4,3
Russian Tsvetnaya Bolonka,"Russkaya Tsvetnaya Bolonka translates to Russian Colored Lapdog. Bolonki were originally bred to be the ultimate house pet for apartment living. Sweet, loving, intelligent, and willing to please, he is friendly to all and shows no sign of aggression.The Russian Tsvetnaya Bolonka, or Bolonka for short, is a member of the Bichon family that was almost extinct until after the Cold War. It is a small companion dog that is hypoallergenic, funny, clever beyond words and intensely loyal to its family. Some are excellent mimics; others are content to sit by the door and monitor who is allowed in or out. Spirited, yet easy-going and sociable, the Russian Tsvetnaya Bolonka is great with children. Although they are quick to alert, they will not be a constant barker with early training on appropriate behavior. They are fairly independent for a toy breed and require early socialization with people. However, Bolonki do get along well with dogs and other animals. Very clever and smart, they do well in formal training such as obedience, rally, tracking and agility when trained with a firm, but gentle, hand.",6,9,5,5,5,3,3,1,3,3,1,5,5,3,1,1
Saint Bernard,"The Saint Bernard does not rank very high in AKC registrations, but the genial giant of the Swiss Alps is nonetheless among the worlds most famous and beloved breeds. Saints are famously watchful and patient nanny dogs for children. Not ranked particularly high in AKC registrations, this genial giant is nonetheless among the worlds most famous and beloved breeds. The Saints written standard abounds with phrases like very powerful, extraordinarily muscular, imposing, and massive. A male stands a minimum 27.5 inches at the shoulder; females will be smaller and more delicately built. The huge head features a wrinkled brow, a short muzzle, and dark eyes, combining to give Saints the intelligent, friendly expression that was such a welcome sight to stranded Alpine travelers.",120,180,5,5,3,3,2,5,3,3,5,4,3,3,1,3
Saluki,"Among the worlds oldest breeds, the slim but rugged Saluki was the hunting hound of kings for thousands of years. Salukis are swift and agile sprinters who love a good chase. They make gentle, dignified, and independent but loyal pets. The beauty of Salukis has been a thing of wonder for thousands of years. Theyre slim and leggy, but very strong and perfectly balanced, like a great athlete or dancer. Males can stand between 23 and 28 inches at the shoulder; females can be much shorter. They come in a many colors and patterns. Their large, oval-shaped eyes are warm and intelligent. Salukis are highly adaptable, able to live and work in any climate. Theyre magnificent animals, but owning them comes with many special challenges.",40,65,5,3,3,2,1,1,3,3,1,3,3,4,3,5
Samoyed,"The Samoyed is a substantial but graceful dog standing anywhere from 19 to a bit over 23 inches at the shoulder. Powerful, tireless, with a thick all-white coat impervious to cold, Sammies are perfectly beautiful but highly functional. Even their most delightful feature, a perpetual smile, has a practical function: The upturned corners of the mouth keep Sammies from drooling, preventing icicles from forming on the face.   A Sammy sentenced to solitary confinement in the yard is a miserable and destructive creature. These are smart, social, mischievous dogs who demand love and attention. Sammies need a very firm but loving hand in training. As pack animals, they must learn early who the alpha dog is and the alpha dog must be you.Samoyeds, the smiling sled dogs, were bred for hard work in the worlds coldest locales. In the Siberian town of Oymyakon, for instance, temperatures of minus-60 degrees are common. The Sammys famous white coat is thick enough to protect against such brutal conditions. Powerful, agile, tireless, impervious to cold, Sammies are drop-dead gorgeous but highly functional. Even their most delightful feature, a perpetual smile, has a practical function: The mouths upturned corners keep Sammies from drooling, preventing icicles from forming on the face.",35,65,5,5,3,3,3,1,5,5,4,4,4,4,5,4
Schapendoes,"This shaggy sheepdog of Holland is also known as the Dutch Sheep Dog. Schapendoes are cheerful, funny, clever and brave and are very good family pets. They also have a strong desire to please.The Schapendoes were everywhere in the Netherlands during the late 19th and early 20th centuries, but their numbers dwindled drastically when Border Collies were imported. When the breed club for Nederlandse Schapendoes was founded in 1947, the Schapendoes breed was resuscitated. The Schapendoes is a lightly-built, long-coated, medium-sized dog. His movements are effortless and springy and his astounding ability to jump makes him excel at agility and other dog sports. With an attentive and courageous character, he is intelligent, watchful, lively, friendly and high-spirited. Towards people familiar to him, he develops great affection and loyalty. ",26,55,5,3,5,2,3,2,3,4,5,4,5,4,3,4
Schipperke,"The Schipperke, Belgiums little captain, is the traditional barge dog of the Low Countries. Curious, lively, and intense but mischievous, this little black dog is a robust, long-lived companion for whom there is never a dull moment. Standing no higher than 13 inches, Schipperkes are small dogs built for hard work. Schips were created as ratters and watchdogs. Their powerful jaws, necks, and forequarterscoupled with a stealthy, catlike hunting stylemake them ideal rat-catching machines. The black coat is profuse around the neck, shoulders, and legs, giving the breed a silhouette that accentuates a thick, substantial body. The foxy face completes the unique look of a unique breed. If you cant tell a Schipperke from an ordinary dog, you simply havent been paying attention.",10,16,5,3,3,3,2,1,3,4,5,4,4,3,4,3
Scottish Deerhound,"The crisply coated Scottish Deerhound, Royal Dog of Scotland, is a majestically large coursing hound struck from the ancient Greyhound template. Among the tallest of dog breeds, the Deerhound was bred to stalk the giant wild red deer.Stand back: You need a little distance to fully appreciate the majesty of this ancient beast. In silhouette we see a noble coursing hound struck from the classic Greyhound template. Deerhounds are, though, much larger and more substantial than Greyhounds, a good-size male can stand 32 inches at the shoulder and weigh 110 pounds. The crisp coat is seen in several colors; breed aficionados prefer the dark blue-gray coat. The tapered head and long neck add extra lift to an already stately hound.",75,110,5,3,5,3,1,1,3,3,3,3,3,3,1,3
Scottish Terrier,"A solidly compact dog of vivid personality, the Scottish Terrier is an independent, confident companion of high spirits. Scotties have a dignified, almost-human character. Their terrier persistence has earned the breed the nickname the Diehard. The well-known Scottie silhouette is that of a short-legged but substantial terrier with distinctive furnishings at the beard, legs, and lower body. The wiry topcoat and soft, dense undercoat coat can be black, wheaten yellow, or a brindle-stripe pattern. Bright, piercing eyes, and erect ears and tail, convey keen alertnessa hallmark of Britains terrier breeds. The Scottie working style has been described as efficient and businesslike, and their aloofness toward strangers makes them excellent watchdogs. Their hunting instinct remains strong, which can complicate life for the neighbors cat, and Scotties are known to be cantankerous around other dogs. This bold and clever Scotsman enjoys brisk walks and upbeat play.",18,22,5,3,2,2,3,2,3,4,5,4,3,3,4,4
Sealyham Terrier,"The Sealyham Terrier is brave and spirited, but not as spiky as smaller terriers. These sturdy, outgoing companions are recognized by their fall, the mass of hair covering the forehead. Sealy fans enjoy their dogs sly sense of humor. Standing less than 11 inches at the shoulder and weighing about 24 pounds, Sealys are not big enough to be considered medium-sized dogs, but they stand among the strongest and most substantial of what we think of as small dogs. A typical Sealy is well-muscled, built low to ground, and moves easily with long, determined strides. The weatherproof coat is predominantly white, and a long, broad head is furnished with lavish facial hair. Despite their rep as the bruiser among short-legged terriers, Sealys are cute, funny, affectionate, outgoing, and trainable, if a bit stubborn. Their alertness and a big-dog bark make Sealys excellent watchdogs. Blessed with an adaptable nature, Sealys are amenable to city dwelling or country life.",23,24,5,3,3,3,3,1,4,3,5,4,4,3,4,4
Segugio Italiano,"The Segugio Italiano is a loyal and personable breed of great stamina, great heart, and impeccable intelligence.Fleet of foot and possessed of elegance, the Segugio Italiano is a tenacious hunter with superlative stamina. Its willing nature, intelligence, gentle and docile demeanor make it ideal as a companion, and well suited for people of all ages. It works diligently as an eager pet to conform to the needs of its owner.  Such character, coupled with its unwavering loyalty, has made it the darling of Italy.  Well-mannered and vigilant, the Segugio Italiano makes an excellent watch dog, watching both property and owner. You will find it neither aggressive nor shy, but courageous, with a cautious nature.  The Segugio Italiano is not a bold breed. It is adapt to any living situation provided it has enough mental and physical exercise. The dog comes in two coat types, the Pelo Raso (short-hair) and Pelo Forte (wire-hair). Within those coat types you will find the Segit to be either fawn or black & tan with very little white visible on the coat. Both coat varieties shed, but minimally.",39,62,3,5,5,3,1,1,1,1,5,3,5,3,3,1
Shetland Sheepdog,"The Shetland Sheepdog, also known as the Sheltie, is an extremely intelligent, quick, and obedient herder from Scotlands remote and rugged Shetland Islands. Shelties bear a strong family resemblance to their bigger cousin, the Collie. The Shetland Sheepdog is a small, active, and agile herding dog standing between 13 and 16 inches at the shoulder. The long coat is harsh and straight, with a dense undercoat, and comes in black, blue merle, and sable, with white markings. The coat, along with a long, wedge-shaped head; small, three-quarter erect ears; and deep-chested, level-backed torso, give Shelties the look of a rough-coated Collie in miniature. Bright and eager Shelties are easy trainers and world-class competitors in obedience, agility, and herding trials. They are sensitive and affectionate family dogs, highly in tune with the mood of the household. They like to bark and tend to be reserved toward strangerstwo qualifications of an excellent watchdog.",15,25,5,5,5,3,3,1,2,5,5,5,5,4,5,4
Shiba Inu,"An ancient Japanese breed, the Shiba Inu is a little but well-muscled dog once employed as a hunter. Today, the spirited, good-natured Shiba is the most popular companion dog in Japan. The adaptable Shiba is at home in town or country. Brought to America from Japan as recently as 60 years ago, Shibas are growing in popularity in the West and are already the most popular breed in their homeland. Their white markings combined with their coloring (red, red sesame, or black and tan) and their alert expression and smooth stride makes them almost foxlike. Theyre sturdy, muscular dogs with a bold, confident personality to match.",17,23,5,3,3,3,2,1,3,3,5,3,2,3,3,4
Shih Tzu,"That face! Those big dark eyes looking up at you with that sweet expression! Its no surprise that Shih Tzu owners have been so delighted with this little Lion Dog for a thousand years. Where Shih Tzu go, giggles and mischief follow. Shi Tsu (pronounced in the West sheed-zoo or sheet-su; the Chinese say sher-zer), weighing between 9 to 16 pounds, and standing between 8 and 11 inches, are surprisingly solid for dogs their size. The coat, which comes in many colors, is worth the time you will put into itfew dogs are as beautiful as a well-groomed Shih Tzu. Being cute is a way of life for this lively charmer. The Shih Tzu is known to be especially affectionate with children. As a small dog bred to spend most of their day inside royal palaces, they make a great pet if you live in an apartment or lack a big backyard. Some dogs live to dig holes and chase cats, but a Shih Tzus idea of fun is sitting in your lap acting adorable as you try to watch TV.",9,16,5,5,5,1,4,1,3,3,3,5,4,3,3,3
Shikoku,"The Shikoku is a dog of marked endurance, keen in sense with a naive feeling, energetic and highly alert. He is an enthusiastic hunter and docile towards his master.The original Shikoku, or Kochi-ken, existed in the mountain ranges of Kochi Prefecture on the island of Shikoku. They were highly valued by the Matagi (Japanese hunters) as a tracker of game, particularly wild boar. He is a medium-sized dog with well-balanced and well-developed, clean-cut muscles. He has pricked ears and a curled or sickle tail. His conformation is strong, well-boned, and compact. His outer coat is rather harsh and straight and his undercoat is soft and dense. The hair on his tail is long. His coat can be red, black and tan, or sesame, which is a well-mixed color of black, red, and white hairs.",35,55,3,3,3,3,3,1,3,3,3,3,3,3,3,3
Siberian Husky,"Siberian Husky, a thickly coated, compact sled dog of medium size and great endurance, was developed to work in packs, pulling light loads at moderate speeds over vast frozen expanses. Sibes are friendly, fastidious, and dignified. The graceful, medium-sized Siberian Huskys almond-shaped eyes can be either brown or blueand sometimes one of eachand convey a keen but amiable and even mischievous expression. Quick and nimble-footed, Siberians are known for their powerful but seemingly effortless gait. Tipping the scales at no more than 60 pounds, they are noticeably smaller and lighter than their burly cousin, the Alaskan Malamute. As born pack dogs, they enjoy family life and get on well with other dogs. The Sibes innate friendliness render them indifferent watchdogs. These are energetic dogs who cant resist chasing small animals, so secure running room is a must. An attractive feature of the breed: Sibes are naturally clean, with little doggy odor.",35,60,5,5,5,4,2,1,5,5,1,4,3,5,5,4
Silky Terrier,"A charming member of the AKC Toy Group, the compact, glossy-coated Silky Terrier is nonetheless a true terrier of energetic high spirits. The Silky, a native of Sydney, Australia, is larger than his close cousin, the Yorkshire Terrier.Small but not fragile, feisty but not yappy, pretty but not sculpted, Silkys are 10-inch-tall dynamos animated by curiosity and high spirits. The glorious blue-and-tan coat is straight and glossy, and it feels and behaves much like human hair. The wedge-shaped head is topped by profuse hair parted down the middle, and erect V-shaped ears draw attention to the keen, piercing expression of the almond-shaped eyes. Silkys are more refined than typical ratting terriers, but they should still look and behave like a true earthdog.",10,10,5,3,3,2,3,1,4,4,5,4,4,3,4,3
Skye Terrier,"The heavenly breed with the heart of a lion, the long, low, and level Skye Terrier is among the AKCs most distinctive-looking breeds. This elegant but sturdy aristocrat was bred as an exterminator on Scotlands remote Isle of Skye. Long, low, and level, this unique earthdog is among the AKCs most distinctive-looking breeds. Skyes stand 9 or 10 inches high and feature a long, flat-lying coat and peekaboo hairdo. Theyre known for big, feathery ears that stand up like bat wings, but Skyes can also have drop ears, which lie flat against the large, long head. Beneath the profuse coat are short, muscular legs and a deep chest. When seen in profile, these elegant but substantial terriers are twice as long as they are high.",35,45,5,3,3,3,3,1,3,3,3,3,3,3,3,3
Sloughi,"The ancient Sloughi, nicknamed the Arabian Greyhound, is a lean, swift coursing hound who hunted a variety of game in North African deserts. A classic sighthound, the Sloughi is regally aloof with strangers and gentle with loved ones.The Sloughi (SLOO-ghee) is a classically constructed sighthound of ancient lineage, originally bred to work on such game as the hare, fox, jackal, gazelle, and wild pigs on the punishing terrain of its homeland. This is a lean, no-frills hound standing between 24 to 29 inches at the shoulder. Coat colors include shades of light sand to mahogany red-fawn, with or without brindling, with or without black markings, with no invasive white markings. The Sloughis big, dark eyes are often described as melancholy.",35,50,4,3,3,3,1,1,2,3,2,3,3,4,2,3
Slovakian Wirehaired Pointer,"Slovakian Wirehaired Pointer is a dog of moderate strength, working type, but with nobleness in his lines.The basic color of the coat is called grey and the hair is harsh (hard). He must be fit and able to work on the plain, in the woods and in the water, and especially to work after the shooting, searching and retrieving wounded game. He is obedient and easy to train.",50,65,5,3,4,2,1,2,3,3,3,3,5,4,3,3
Slovensky Cuvac,"The Slovensky Cuvac is boundlessly faithful and courageous and always ready to fight off any intruder, even if they are bears and wolves. In order to distinguish him from wild animals in the night, he is, according to ancient tradition, only bred in white.The Slovensky Cuvacs breed characteristics conform in type with those of a mountain dog of the firm constitution, impressive appearance, and thick white coat. He has a strong bone, a lively temperament, and is vigilant, fearless, and alert. For centuries, he has been accustomed to the harsh climate of the Slovakian mountains, especially the Tatra Mountains. His vigilance and alertness helped to give him his name, as the Slovak word means to hear. ",68,97,5,3,3,4,2,3,2,3,5,3,3,3,1,3
Slovensky Kopov,"This spirited, persistent hunter will follow a scent for hours. The Slovensky Kopov is a hardy, hardworking breed that is also known for its courage and great endurance and was originally developed to hunt wild boar.Also known as the Slovakian Hound, Slovak Hound, or the Slovensky Kopov is a medium-sized scent hound with a relatively light, but solid, build. His coat is of medium coarseness, close-fitting, dense, and always solid black with tan markings. It is an extremely intelligent breed with an excellent sense of smell and direction. Where he is known, he dominates the world of hunting by his endurance, character, and great courage.",33,44,5,3,4,3,1,2,3,3,3,3,4,3,3,3
Small Munsterlander,"The Small Munsterlander is a versatile hunting dog and natural retriever with a medium range, solid pointing instinct, and strong desire for the water. It has excellent tracking abilities for all types of work after the shot. These qualities are enhanced by intelligence and trainability. The Small Munsterlander is intelligent and capable of learning, has a full but even temperament, and is steady in character. It is alert and friendly towards people, which makes them suitable for family life; they have good social behavior and keeps in close contact with their master. Its passionate, persevering predatory instinct, versatile hunting aptitudes and strong nerves and keenness for game make it an extremely adept hunting companion. During the off season, Small Munsterlanders can also be used for agility, obedience, retrieving and hunting tests or trials. Small Munsterlanders have a strong pack instinct and thrive in outdoor oriented families. In the house, they often can be found sleeping near (or on) the feet of their master. In their native country of Germany, it is the Kleiner Münsterländer. Club Contact Details Small Munsterlander Club of North America Mark Schnubel, President president@smcna.org Phone: 860-416-7991",40,60,5,4,3,3,1,2,3,3,3,3,5,4,1,4
Smooth Fox Terrier,"The Smooth Fox Terrier, called the gentleman of the terrier world, is a lively, gregarious terrier with a devil-may-care attitude, originally developed for Britains traditional foxhunts. They are close relatives toWire Fox Terriers. Smooths are quite similar to their close relatives, Wire Fox Terriers. Like their crispy-coated cousins, Smooths stand no more than 15.5 inches at the shoulder. The distinguishing physical trait, besides coat type, is the head: A Smooths head is more V-shaped than a Wires. The dense, flat coat is predominantly white, with black, tan, or black-and-tan markings. These cleverly made hunters are strong and sturdy, but never coarse and clunky. Short-backed and symmetrical, they move with the unwavering grace of a pendulum clock.",15,18,5,3,3,3,2,1,3,4,5,4,3,4,5,3
Soft Coated Wheaten Terrier,"The Soft Coated Wheaten Terrier, an exuberant Irish farm dog, is happy, friendly, deeply devoted, and just stubborn enough to remind you hes a terrier. The unique wheaten coat is low-shedding but needs diligent care to avoid matting. The hallmark of these merry extroverts, and what sets them apart from other terriers, is the silky, gently waving coat. It runs from a pale beige to a shimmering gold, recalling the color of ripening wheat. Topping out at 19 inches tall and 40 pounds, Wheatens are square, sturdy terriers with a peek-a-boo hairdo and dashing goatee. The overall picture is that of a hard-muscled but soft-coated working terrier or, as the breed has been described, an iron fist in a velvet glove.",30,40,5,5,3,1,4,2,3,3,3,3,3,4,3,3
